epoch,train_loss_avg,box_map_50,mask_map_50,lr
1,1.974,0.1571,0.152,0.001
2,1.8114,0.1937,0.1742,0.001
3,1.7807,0.1997,0.1851,0.001
4,1.7219,0.2082,0.2018,0.001
5,1.6434,0.2153,0.2096,0.001
6,1.6572,0.2171,0.2128,0.001
7,1.6206,0.2278,0.2146,0.001
8,1.5895,0.2313,0.2202,0.001
9,1.6336,0.2303,0.2242,0.001
10,1.5927,0.2247,0.2071,0.0005
11,1.532,0.2385,0.2276,0.0005
12,1.5093,0.2291,0.2183,0.0005
13,1.6182,0.2093,0.2017,0.0005
14,1.5156,0.2364,0.2216,0.0005
15,1.5285,0.228,0.2196,0.0005
16,1.5406,0.2302,0.227,0.0005
