epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7555,2.68736,4.64868,3.73526,1.96087,0,0.05547,0.43617,0.04028,0.0153,0.03243,0.2234,0.01702,0.00516,2.66299,6.80906,20.7505,2.16195,0,0.00056,0.00056,0.00056
2,23.2824,2.68611,5.06118,4.4484,1.87739,0,0.10736,0.28723,0.08579,0.02678,0.07826,0.21277,0.05492,0.01798,nan,nan,nan,nan,0,0.00113774,0.00113774,0.00113774
3,33.8725,2.99976,5.87288,3.25146,2.10164,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00171319,0.00171319,0.00171319
4,43.7098,3.40073,7.63963,5.45349,2.31094,0,0,0,0,0,0,0,0,0,3.77582,90.7158,inf,4.71486,0,0.00198812,0.00198812,0.00198812
5,52.7092,3.33512,7.984,4.82454,2.25237,0,0.005,0.06383,0.00267,0.00083,0.00083,0.01064,0.00042,8e-05,3.73145,9.40577,27.9533,3.22668,0,0.00198416,0.00198416,0.00198416
6,61.4327,3.37141,8.3023,5.97384,2.25538,0,0.005,0.06383,0.00267,0.00083,0.00083,0.01064,0.00042,8e-05,3.73145,9.40577,27.9533,3.22668,0,0.0019802,0.0019802,0.0019802
7,70.0798,3.38836,5.17648,3.39042,2.33713,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
8,78.6746,3.39278,4.8106,2.87798,2.2653,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
9,87.1862,3.4862,4.71278,2.67252,2.29433,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
10,95.8363,3.35917,4.73646,2.6748,2.15615,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196436,0.00196436,0.00196436
11,104.51,3.22357,4.65234,2.40255,2.0744,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019604,0.0019604,0.0019604
12,113.866,3.12935,4.72082,2.3944,2.0566,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00195644,0.00195644,0.00195644
13,124.415,3.16185,4.76541,2.49417,2.02392,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00195248,0.00195248,0.00195248
14,133.182,3.1454,4.60542,2.4313,1.99728,0,0.00732,0.03191,0.00392,0.00052,0,0,0,0,nan,nan,nan,nan,0,0.00194852,0.00194852,0.00194852
15,141.753,3.10616,4.63382,2.29163,1.96298,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00194456,0.00194456,0.00194456
16,150.343,3.0806,4.56386,2.4662,1.97375,0,0.01355,0.02128,0.00496,0.00296,0.00858,0.01064,0.00241,0.00096,nan,nan,nan,nan,0,0.0019406,0.0019406,0.0019406
