epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5701,2.02608,3.60193,1.47198,1.53389,0,0.32881,0.35659,0.26018,0.09383,0.30036,0.29457,0.20368,0.06793,2.26086,4.2599,1.78469,1.71946,0,0.000654762,0.000654762,0.000654762
2,40.4309,2.05149,3.58449,1.487,1.51923,0,0.27742,0.29845,0.20458,0.06278,0.31838,0.22868,0.17518,0.04632,2.40944,4.14793,2.0533,1.81053,0,0.00131489,0.00131489,0.00131489
3,67.2699,2.08676,3.60755,1.59247,1.53084,0,0.18937,0.25625,0.1204,0.0429,0.19693,0.18605,0.09623,0.0263,2.36588,7.97072,1.86687,2.05845,0,0.00196841,0.00196841,0.00196841
4,97.0001,2.17415,3.6773,1.69264,1.51515,0,0.29598,0.26744,0.19498,0.07178,0.27514,0.24031,0.16577,0.05011,2.26781,4.19843,1.84825,1.77245,0,0.0019703,0.0019703,0.0019703
5,113.468,2.1608,3.78346,1.63287,1.56869,0,0.30786,0.31783,0.22907,0.0836,0.31433,0.28075,0.18613,0.05546,2.2403,4.04646,1.78782,1.73024,0,0.0019604,0.0019604,0.0019604
6,128.98,2.08686,3.6061,1.59251,1.52659,0,0.31753,0.36047,0.2883,0.1169,0.27821,0.27907,0.23878,0.08591,2.12117,3.93765,1.72508,1.67645,0,0.0019505,0.0019505,0.0019505
7,153.318,2.1068,3.70176,1.65305,1.57089,0,0.27773,0.32171,0.18997,0.07431,0.26016,0.28682,0.16575,0.05452,2.25535,4.05662,1.93215,1.71451,0,0.0019406,0.0019406,0.0019406
8,170.221,2.029,3.56111,1.58152,1.54132,0,0.35054,0.27824,0.27378,0.10429,0.37852,0.27519,0.26223,0.07726,2.2086,3.91193,1.74625,1.67472,0,0.0019307,0.0019307,0.0019307
9,185.417,2.0998,3.61948,1.58309,1.5024,0,0.3597,0.31573,0.27157,0.10008,0.34919,0.29457,0.24602,0.07568,2.18432,3.89551,1.77605,1.65028,0,0.0019208,0.0019208,0.0019208
10,200.001,2.03704,3.60112,1.53222,1.52225,0,0.29313,0.33721,0.25606,0.10414,0.30338,0.3062,0.22428,0.07418,2.20175,3.92709,1.74346,1.68665,0,0.0019109,0.0019109,0.0019109
