epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.548,2.46244,4.37323,2.52078,1.93239,0,0.08232,0.13178,0.03964,0.0151,0.05783,0.11628,0.03172,0.00841,nan,nan,nan,nan,0,0.000654762,0.000654762,0.000654762
2,31.347,2.48456,4.3837,2.42923,1.92447,0,0.00524,0.04264,0.00327,0.00091,0.00429,0.03488,0.0025,0.0007,nan,nan,nan,nan,0,0.00131881,0.00131881,0.00131881
3,47.3046,2.59313,4.51699,2.45798,1.95693,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198022,0.00198022,0.00198022
4,72.4554,2.59487,4.57673,2.12228,1.89699,0,0.00543,0.01938,0.0031,0.00055,0,0,0,0,nan,nan,nan,nan,0,0.00198812,0.00198812,0.00198812
5,91.8343,2.73907,4.53411,2.29373,1.95977,0,0.001,0.01163,0.00051,0.00019,0.001,0.01163,0.00051,0.00014,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
6,105.992,2.57136,4.3392,2.30071,1.8489,0,0.16592,0.18217,0.10605,0.03059,0.15579,0.16279,0.09876,0.02607,2.62445,5.77664,2.66144,2.28744,0,0.0019802,0.0019802,0.0019802
7,122.138,2.65353,4.42437,2.3265,1.93575,0,0.01233,0.14341,0.00705,0.00264,0.01033,0.12016,0.00579,0.00156,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
8,136.118,2.56484,4.2373,2.15457,1.94641,0,0.03236,0.34109,0.02092,0.00678,0.0272,0.24419,0.01636,0.00446,2.75417,4.66212,55.0394,2.37686,0,0.00197228,0.00197228,0.00197228
9,149.878,2.62618,4.32726,2.11893,1.89436,0,0.03548,0.33333,0.02207,0.00856,0.02826,0.22868,0.01709,0.00537,2.56684,4.69464,inf,2.24968,0,0.00196832,0.00196832,0.00196832
10,164.096,2.42419,4.24161,2.08829,1.84555,0,0.25719,0.30598,0.21543,0.07595,0.2746,0.27132,0.2076,0.05019,2.39441,4.29154,1.90961,1.94621,0,0.00196436,0.00196436,0.00196436
